Date,Open,High,Low,Close,Direction,Buy Swing,Sell Swing
07/03/2015,5579,5590,5487,5539,DOWN,11,93
07/04/2015,5537,5552,5526,5530,DOWN,15,12
07/06/2015,5483,5507,5423,5497,UP,24,60
07/07/2015,5496,5589,5480,5513,UP,93,16
07/08/2015,5513,5570,5429,5455,DOWN,57,85
07/09/2015,5454,5502,5379,5492,UP,48,76
07/10/2015,5493,5532,5437,5516,UP,39,56
07/11/2015,5517,5539,5514,5531,UP,22,3
07/13/2015,5504,5550,5448,5547,UP,46,56
07/14/2015,5548,5592,5540,5591,UP,45,8
07/15/2015,5592,5654,5580,5640,UP,62,12
07/16/2015,5639,5694,5620,5679,UP,55,19
07/17/2015,5680,5697,5646,5667,DOWN,17,35
07/18/2015,5667,5675,5660,5673,UP,8,7
07/20/2015,5669,5711,5653,5702,UP,42,17
07/21/2015,5702,5726,5690,5705,UP,24,12
07/22/2015,5705,5705,5597,5615,DOWN,1,108
07/23/2015,5615,5620,5574,5575,DOWN,6,41
07/24/2015,5575,5608,5543,5563,DOWN,33,32
07/25/2015,5561,5565,5510,5526,DOWN,4,51
07/27/2015,5521,5596,5517,5544,UP,75,4
07/28/2015,5543,5614,5528,5588,UP,71,15
07/29/2015,5587,5659,5574,5649,UP,72,13
07/30/2015,5648,5686,5642,5665,UP,38,6
07/31/2015,5665,5717,5663,5698,UP,52,3
08/01/2015,5698,5714,5684,5697,DOWN,16,15
08/03/2015,5699,5713,5670,5686,DOWN,14,30
08/04/2015,5687,5733,5656,5699,UP,47,31
08/05/2015,5699,5711,5638,5707,UP,12,61
08/06/2015,5708,5717,5556,5558,DOWN,9,152
08/07/2015,5558,5564,5452,5463,DOWN,6,107
08/08/2015,5462,5468,5439,5460,DOWN,6,24
08/10/2015,5461,5517,5442,5511,UP,55,20
08/11/2015,5512,5554,5437,5437,DOWN,42,75
08/12/2015,5436,5494,5321,5333,DOWN,58,115
08/13/2015,5332,5426,5307,5350,UP,94,25
08/14/2015,5349,5391,5321,5538,UP,43,28
08/15/2015,5339,5359,5324,5357,UP,20,15
08/17/2015,5358,5397,5309,5317,DOWN,39,49
08/18/2015,5316,5388,5290,5315,DOWN,72,26
08/19/2015,5315,5407,5312,5365,UP,92,3
08/20/2015,5364,5388,5261,5272,DOWN,24,103
08/21/2015,5272,5274,5166,5198,DOWN,3,106
08/22/2015,5197,5209,5094,5097,DOWN,13,103
08/24/2015,5082,5122,4770,4837,DOWN,40,311
08/25/2015,4837,5281,4764,5208,UP,444,74
08/26/2015,5205,5230,5007,5192,DOWN,25,198
08/27/2015,5191,5271,5122,5240,UP,80,69
08/28/2015,5235,5326,5215,5241,UP,91,20
08/29/2015,5242,5282,5233,5276,UP,40,10
08/31/2015,5236,5266,5155,5188,DOWN,29,82
09/01/2015,5187,5214,5010,5037,DOWN,27,176
09/02/2015,5036,5104,4987,5073,UP,68,49
09/03/2015,5072,5180,5012,5057,DOWN,108,59
09/04/2015,5058,5091,4989,5013,DOWN,34,69
09/05/2015,5012,5040,4978,5003,DOWN,28,35
09/07/2015,5012,5053,4970,5020,UP,41,42
09/08/2015,5019,5146,5015,5123,UP,127,4
09/09/2015,5124,5235,5103,5190,UP,112,21
09/10/2015,5191,5192,5026,5063,DOWN,1,164
09/11/2015,5064,5121,5026,5056,DOWN,57,38
09/12/2015,5055,5096,5053,5094,UP,41,3
09/14/2015,5094,5146,5066,5081,DOWN,52,28
09/15/2015,5080,5116,4987,5019,DOWN,36,93
09/16/2015,5020,5130,5018,5117,UP,110,3
09/17/2015,5116,5196,5110,5132,UP,80,6
09/18/2015,5131,5198,5086,5090,DOWN,67,45
09/19/2015,5091,5118,5073,5097,UP,28,18
09/20/2015,5100,5112,5022,5091,DOWN,13,78
09/22/2015,5090,5133,5024,5037,DOWN,43,67
09/23/2015,5038,5055,4987,5023,DOWN,17,51
09/24/2015,5024,5097,5004,5039,UP,73,20
09/25/2015,5039,5120,5025,5078,UP,81,14
09/26/2015,5080,5090,5033,5045,DOWN,11,47
09/28/2015,5040,5132,5009,5058,UP,92,31
09/29/2015,5058,5062,4893,4934,DOWN,4,165
09/30/2015,4936,5035,4909,5005,UP,99,27
10/01/2015,5006,5120,4979,5064,UP,115,27
10/02/2015,5065,5122,4984,5001,DOWN,57,81
10/03/2015,5000,5117,4989,5115,UP,118,11
10/05/2015,5108,5188,5091,5185,UP,81,17
10/07/2015,5207,5252,5133,5246,UP,45,74
10/08/2015,5246,5269,5199,5227,DOWN,24,47
10/09/2015,5228,5292,5225,5282,UP,65,3
10/10/2015,5281,5282,5254,5269,DOWN,1,27
10/12/2015,5258,5275,5222,5243,DOWN,17,36
10/13/2015,5244,5247,5174,5187,DOWN,3,71
10/14/2015,5186,5221,5154,5207,UP,35,32
10/15/2015,5206,5256,5185,5247,UP,50,21
10/16/2015,5246,5314,5224,5285,UP,68,22
10/17/2015,5286,5299,5275,5295,UP,13,11
10/19/2015,5290,5299,5250,5251,DOWN,9,40
10/20/2015,5252,5271,5216,5220,DOWN,19,35
10/21/2015,5219,5278,5192,5268,UP,59,28
10/22/2015,5269,5288,5215,5284,UP,19,54
10/23/2015,5283,5399,5276,5397,UP,116,7
10/24/2015,5397,5411,5386,5392,DOWN,14,12
10/26/2015,5393,5402,5344,5377,DOWN,9,49
10/27/2015,5376,5383,5348,5366,DOWN,8,28
10/28/2015,5365,5367,5317,5329,DOWN,2,48
10/29/2015,5329,5378,5252,5260,DOWN,49,77
10/30/2015,5261,5273,5204,5237,DOWN,12,57
10/31/2015,5237,5261,5221,5239,UP,24,17
11/02/2015,5229,5257,5151,5174,DOWN,28,78
11/03/2015,5175,5257,5173,5229,UP,82,2
11/04/2015,5228,5319,5224,5255,UP,91,4
11/05/2015,5254,5262,5167,5211,DOWN,8,87
11/06/2015,5210,5238,5153,5191,DOWN,28,58
11/07/2015,5190,5207,5167,5201,UP,17,23
11/09/2015,5179,5194,5094,5095,DOWN,16,85
11/10/2015,5096,5100,5037,5057,DOWN,4,59
11/11/2015,5056,5131,5042,5124,UP,76,14
